MAG	body_region	Microenvironments	taxonomy_status
1111525849670236_bin.1	Facial skin	sebaceous	not_annotated
1111525849671104_bin.2	Facial skin	sebaceous	not_annotated
1111525849671172_bin.2	Facial skin	sebaceous	not_annotated
1111525849736171_bin.38	Facial skin	sebaceous	not_annotated
1111525849736752_bin.37	Facial skin	sebaceous	not_annotated
1111525849739687_bin.4	Facial skin	sebaceous	not_annotated
1111525849740170_bin.32	Facial skin	sebaceous	not_annotated
1111525849742850_bin.43	Facial skin	sebaceous	not_annotated
1111525849742904_bin.7	Facial skin	sebaceous	not_annotated
1111525849743011_bin.17	Facial skin	sebaceous	not_annotated
1111525849743147_bin.28	Facial skin	sebaceous	not_annotated
1111525849743403_bin.3	Facial skin	sebaceous	not_annotated
1111525849746667_bin.3	Facial skin	sebaceous	not_annotated
1111525849747079_bin.1	Facial skin	sebaceous	not_annotated
1111525849748616_bin.45	Facial skin	sebaceous	not_annotated
1111525849752591_bin.36	Facial skin	sebaceous	not_annotated
1111525849753914_bin.44	Facial skin	sebaceous	not_annotated
1111525849755361_bin.24	Facial skin	sebaceous	not_annotated
1111525849755503_bin.27	Facial skin	sebaceous	not_annotated
1111525849755644_bin.28	Facial skin	sebaceous	not_annotated
1111525849758951_bin.11	Facial skin	sebaceous	not_annotated
1111525849759280_bin.18	Facial skin	sebaceous	not_annotated
1111525849760419_bin.6	Facial skin	sebaceous	not_annotated
1111525849766067_bin.8	Facial skin	sebaceous	not_annotated
1111525849766731_bin.22	Facial skin	sebaceous	not_annotated
1111525849767265_bin.7	Facial skin	sebaceous	not_annotated
1111525849767822_bin.20	Facial skin	sebaceous	not_annotated
1111525849768046_bin.1	Facial skin	sebaceous	not_annotated
1111525849770636_bin.1	Facial skin	sebaceous	not_annotated
1111525849771950_bin.6	Facial skin	sebaceous	not_annotated
1111525849772152_bin.18	Facial skin	sebaceous	not_annotated
1111525849772285_bin.26	Facial skin	sebaceous	not_annotated
1111525849772552_bin.14	Facial skin	sebaceous	not_annotated
1111525849772614_bin.1	Facial skin	sebaceous	not_annotated
1111525849852445_bin.20	Facial skin	sebaceous	not_annotated
1111525849853712_bin.5	Facial skin	sebaceous	not_annotated
1111525849854017_bin.11	Facial skin	sebaceous	not_annotated
1111525849854221_bin.18	Facial skin	sebaceous	not_annotated
1111525849857374_bin.11_new	Facial skin	sebaceous	not_annotated
1111525849857917_bin.2	Facial skin	sebaceous	not_annotated
