phylum,CF_id,positive_species,total_species_in_phylum,percentage
Bdellovibrionota,CF23,24,784,3.061224489795918
Bdellovibrionota,CF24,478,784,60.96938775510205
Bdellovibrionota,CF25,7,784,0.8928571428571428
Bdellovibrionota,CF2_10,9,784,1.1479591836734695
Bdellovibrionota,CF2_4,11,784,1.403061224489796
Bdellovibrionota,CF3,1,784,0.12755102040816327
Bdellovibrionota,CF4,99,784,12.627551020408163
Bdellovibrionota,CF5,244,784,31.122448979591837
Bdellovibrionota,CF6,72,784,9.183673469387756
Bdellovibrionota,CF7,74,784,9.438775510204081
Bdellovibrionota,CF8,14,784,1.7857142857142856
Bdellovibrionota,CF9_9,4,784,0.5102040816326531
Bdellovibrionota_B,CF0,12,213,5.633802816901409
Bdellovibrionota_B,CF1,118,213,55.39906103286385
Bdellovibrionota_B,CF10,3,213,1.4084507042253522
Bdellovibrionota_B,CF11,3,213,1.4084507042253522
Bdellovibrionota_B,CF12,156,213,73.23943661971832
Bdellovibrionota_B,CF13,149,213,69.95305164319248
Bdellovibrionota_B,CF14,142,213,66.66666666666666
Bdellovibrionota_B,CF15_17,129,213,60.56338028169014
Bdellovibrionota_B,CF16,124,213,58.21596244131455
Bdellovibrionota_B,CF17_20,30,213,14.084507042253522
Bdellovibrionota_B,CF18,44,213,20.657276995305164
Bdellovibrionota_B,CF19,3,213,1.4084507042253522
Bdellovibrionota_B,CF21,12,213,5.633802816901409
Bdellovibrionota_B,CF22,8,213,3.755868544600939
Bdellovibrionota_B,CF23,12,213,5.633802816901409
Bdellovibrionota_B,CF24,79,213,37.08920187793427
Bdellovibrionota_B,CF25,2,213,0.9389671361502347
Bdellovibrionota_B,CF2_10,2,213,0.9389671361502347
Bdellovibrionota_B,CF2_4,3,213,1.4084507042253522
Bdellovibrionota_B,CF3,17,213,7.981220657276995
Bdellovibrionota_B,CF4,8,213,3.755868544600939
Bdellovibrionota_B,CF5,97,213,45.539906103286384
Bdellovibrionota_B,CF6,33,213,15.492957746478872
Bdellovibrionota_B,CF7,15,213,7.042253521126761
Bdellovibrionota_B,CF8,14,213,6.572769953051644
Bdellovibrionota_B,CF9_9,20,213,9.389671361502346
Bdellovibrionota_F,CF12,2,3,66.66666666666666
Bdellovibrionota_F,CF13,1,3,33.33333333333333
Bdellovibrionota_F,CF14,1,3,33.33333333333333
Bdellovibrionota_F,CF15_17,1,3,33.33333333333333
Bdellovibrionota_F,CF16,1,3,33.33333333333333
Bdellovibrionota_F,CF24,2,3,66.66666666666666
Bdellovibrionota_F,CF6,1,3,33.33333333333333
Bdellovibrionota_G,CF1,1,14,7.142857142857142
Bdellovibrionota_G,CF12,11,14,78.57142857142857
Bdellovibrionota_G,CF13,9,14,64.28571428571429
Bdellovibrionota_G,CF14,7,14,50.0
Bdellovibrionota_G,CF15_17,10,14,71.42857142857143
Bdellovibrionota_G,CF16,8,14,57.14285714285714
Bdellovibrionota_G,CF17_20,1,14,7.142857142857142
Bdellovibrionota_G,CF18,3,14,21.428571428571427
Bdellovibrionota_G,CF22,1,14,7.142857142857142
Bdellovibrionota_G,CF24,2,14,14.285714285714285
Bdellovibrionota_G,CF6,3,14,21.428571428571427
Bipolaricaulota,CF12,119,216,55.092592592592595
Bipolaricaulota,CF13,80,216,37.03703703703704
Bipolaricaulota,CF14,51,216,23.61111111111111
Bipolaricaulota,CF17_20,26,216,12.037037037037036
Bipolaricaulota,CF21,1,216,0.4629629629629629
Bipolaricaulota,CF24,112,216,51.85185185185185
Bipolaricaulota,CF5,87,216,40.27777777777778
Bipolaricaulota,CF7,11,216,5.092592592592593
Bipolaricaulota,CF9_9,71,216,32.870370370370374
Blakebacterota,CF12,4,5,80.0
Blakebacterota,CF13,4,5,80.0
Blakebacterota,CF14,2,5,40.0
Blakebacterota,CF17_20,1,5,20.0
Blakebacterota,CF24,3,5,60.0
Blakebacterota,CF9_9,4,5,80.0
CAIJMQ01,CF12,7,12,58.333333333333336
CAIJMQ01,CF13,4,12,33.33333333333333
CAIJMQ01,CF24,4,12,33.33333333333333
CAIJMQ01,CF6,3,12,25.0
CAIWAD01,CF12,8,16,50.0
CAIWAD01,CF13,8,16,50.0
CAIWAD01,CF14,8,16,50.0
CAIWAD01,CF16,7,16,43.75
CAIWAD01,CF18,1,16,6.25
CAIWAD01,CF23,5,16,31.25
CAIWAD01,CF5,8,16,50.0
CAIWAD01,CF6,1,16,6.25
CAIWAD01,CF7,1,16,6.25
CAIWAD01,CF9_9,8,16,50.0
CAKKQC01,CF12,2,3,66.66666666666666
CAKKQC01,CF13,2,3,66.66666666666666
CAKKQC01,CF24,2,3,66.66666666666666
CAKKQC01,CF6,2,3,66.66666666666666
CALINM01,CF12,5,5,100.0
CALINM01,CF14,5,5,100.0
CALINM01,CF15_17,5,5,100.0
CALINM01,CF16,5,5,100.0
CALINM01,CF25,1,5,20.0
CALINM01,CF6,5,5,100.0
CG03,CF12,17,25,68.0
CG03,CF13,8,25,32.0
CG03,CF14,7,25,28.000000000000004
CG03,CF15_17,15,25,60.0
CG03,CF24,1,25,4.0
CG03,CF2_10,2,25,8.0
CG03,CF2_4,2,25,8.0
CG03,CF5,8,25,32.0
CG03,CF6,1,25,4.0
CG2-30-53-67,CF12,6,13,46.15384615384615
CG2-30-53-67,CF13,6,13,46.15384615384615
CG2-30-53-67,CF14,5,13,38.46153846153847
CG2-30-53-67,CF15_17,6,13,46.15384615384615
